comuna;educacional_parental;almuerzo;taller_apoyo;matematicas;lectura;escritura;sexo
 Santiago;profesional;estandar;no;0.83;0.78;0.73;H
 Santiago;primaria;estandar;si;0.85;0.92;0.93;M
 Las_Condes;secundaria;estandar;si;0.59;0.63;0.75;M
 Santiago;primaria;beca;no;0.65;0.86;0.8;M
 Pudahuel;profesional;beca;no;0.73;0.56;0.57;H
 Nunoa;secundaria;estandar;no;0.53;0.52;0.42;H
 Nunoa;secundaria;estandar;no;0.45;0.48;0.46;H
 Nunoa;profesional;beca;no;0.73;0.79;0.84;M
 Nunoa;tecnica;beca;si;0.7;0.78;0.78;M
 Pudahuel;primaria;estandar;no;0.37;0.46;0.46;M
 Pudahuel;tecnica;estandar;si;0.81;0.82;0.82;H
 Las_Condes;tecnica;estandar;si;0.97;0.82;0.88;H
 Pudahuel;primaria;estandar;no;0.67;0.89;0.82;M
 Pudahuel;profesional;beca;no;0.88;0.75;0.76;H
 Las_Condes;primaria;estandar;si;0.77;0.76;0.77;H
 Santiago;tecnica;estandar;no;0.76;0.7;0.68;H
 Nunoa;primaria;estandar;no;0.86;0.73;0.7;H
 Santiago;primaria;estandar;si;0.63;0.6;0.57;H
 Las_Condes;profesional;estandar;no;0.65;0.73;0.75;M
 Nunoa;secundaria;beca;si;0.78;0.77;0.8;H
 Pudahuel;tecnica;beca;no;0.67;0.62;0.6;H
 Lo_Prado;primaria;estandar;si;0.46;0.41;0.43;H
 Las_Condes;tecnica;estandar;si;0.71;0.74;0.68;H
 Santiago;secundaria;beca;si;0.4;0.46;0.5;H
 Nunoa;tecnica;beca;no;0.9;0.87;0.75;H
 Lo_Prado;tecnica;beca;si;0.81;0.78;0.81;H
 Nunoa;primaria;beca;no;0.56;0.54;0.52;H
 Santiago;tecnica;estandar;si;0.67;0.84;0.81;M
 Pudahuel;tecnica;estandar;no;0.8;0.76;0.64;H
 Santiago;tecnica;estandar;si;0.74;0.75;0.83;M
 Lo_Prado;tecnica;estandar;no;0.69;0.67;0.69;H
 Las_Condes;tecnica;estandar;si;0.99;0.87;0.81;H
 Santiago;primaria;estandar;no;0.51;0.52;0.44;H
 Pudahuel;tecnica;beca;no;0.53;0.71;0.67;M
 Nunoa;secundaria;beca;no;0.49;0.57;0.52;M
 Pudahuel;tecnica;estandar;no;0.73;0.76;0.8;M
 Pudahuel;profesional;estandar;no;0.66;0.6;0.57;H
 Nunoa;profesional;estandar;si;0.67;0.61;0.68;H
 Santiago;tecnica;beca;si;0.68;0.67;0.69;M
 Santiago;profesional;estandar;si;0.59;0.64;0.75;M
 Santiago;secundaria;estandar;no;0.71;0.66;0.65;H
 Nunoa;postgrado;estandar;si;0.77;0.82;0.91;M
 Santiago;tecnica;estandar;no;0.83;0.72;0.78;H
 Pudahuel;profesional;estandar;no;0.63;0.71;0.69;H
 Nunoa;tecnica;beca;no;0.56;0.65;0.63;M
 Santiago;secundaria;beca;si;0.67;0.79;0.84;M
 Las_Condes;secundaria;estandar;no;0.75;0.86;0.79;M
 Santiago;tecnica;estandar;no;0.71;0.81;0.8;M
 Santiago;primaria;beca;no;0.43;0.53;0.53;M
 Santiago;secundaria;beca;no;0.41;0.46;0.43;M
 Santiago;tecnica;estandar;no;0.82;0.9;0.94;M
 Santiago;tecnica;estandar;no;0.61;0.61;0.62;H
 Lo_Prado;tecnica;beca;no;0.28;0.23;0.19;H
 Santiago;tecnica;estandar;si;0.82;0.75;0.77;H
 Pudahuel;primaria;estandar;no;0.41;0.55;0.51;M
 Santiago;secundaria;estandar;no;0.71;0.6;0.61;H
 Santiago;tecnica;estandar;no;0.47;0.37;0.35;H
 Las_Condes;tecnica;estandar;si;0.62;0.56;0.53;H
 Pudahuel;tecnica;estandar;no;0.9;0.78;0.81;H
 Santiago;profesional;estandar;no;0.83;0.93;0.95;M
 Pudahuel;tecnica;beca;no;0.61;0.68;0.66;M
 Nunoa;primaria;estandar;si;0.76;0.7;0.69;H
 Santiago;tecnica;estandar;no;0.49;0.51;0.43;H
 Pudahuel;primaria;beca;no;0.24;0.38;0.27;M
 Nunoa;primaria;beca;si;0.35;0.55;0.6;M
 Santiago;secundaria;beca;no;0.58;0.61;0.52;H
 Santiago;secundaria;estandar;no;0.61;0.73;0.63;M
 Pudahuel;secundaria;estandar;si;0.69;0.76;0.74;M
 Nunoa;tecnica;estandar;si;0.67;0.72;0.67;H
 Nunoa;tecnica;estandar;no;0.79;0.73;0.67;H
 Santiago;secundaria;estandar;no;0.72;0.8;0.75;M
 Pudahuel;tecnica;estandar;no;0.62;0.61;0.57;H
 Santiago;profesional;estandar;si;0.77;0.94;0.95;M
 Nunoa;secundaria;beca;no;0.75;0.74;0.66;H
 Las_Condes;tecnica;estandar;no;0.87;0.74;0.76;H
 Pudahuel;profesional;estandar;no;0.52;0.65;0.69;M
 Las_Condes;tecnica;estandar;no;0.66;0.57;0.52;H
 Santiago;tecnica;estandar;si;0.63;0.78;0.8;M
 Santiago;tecnica;estandar;no;0.46;0.58;0.57;M
 Santiago;tecnica;estandar;no;0.59;0.71;0.7;M
 Pudahuel;profesional;estandar;no;0.61;0.72;0.7;M
 Lo_Prado;tecnica;estandar;no;0.63;0.61;0.61;H
 Santiago;tecnica;beca;si;0.42;0.66;0.69;M
 Nunoa;tecnica;beca;no;0.59;0.62;0.61;H
 Nunoa;tecnica;estandar;no;0.8;0.9;0.89;M
 Pudahuel;secundaria;estandar;no;0.58;0.62;0.59;M
 Pudahuel;primaria;estandar;si;0.85;0.84;0.78;H
 Santiago;tecnica;estandar;no;0.52;0.58;0.58;M
 Nunoa;primaria;beca;no;0.27;0.34;0.32;M
 Santiago;tecnica;estandar;no;0.59;0.6;0.58;H
 Lo_Prado;profesional;beca;si;0.49;0.58;0.6;H
 Santiago;secundaria;estandar;si;0.69;0.58;0.53;H
 Santiago;profesional;beca;no;0.61;0.66;0.61;H
 Lo_Prado;primaria;beca;no;0.44;0.64;0.58;M
 Nunoa;primaria;estandar;no;0.73;0.84;0.85;M
 Las_Condes;tecnica;estandar;no;0.84;0.77;0.71;H
 Santiago;tecnica;beca;si;0.45;0.73;0.7;M
 Nunoa;primaria;estandar;no;0.74;0.74;0.72;H
 Nunoa;tecnica;estandar;si;0.82;0.97;0.96;M
 Nunoa;profesional;estandar;no;0.59;0.7;0.73;M
 Las_Condes;tecnica;beca;no;0.46;0.43;0.41;H
 Nunoa;primaria;estandar;no;0.8;0.9;0.82;M
 Nunoa;postgrado;beca;si;0.85;0.95;1.0;M
 Lo_Prado;primaria;estandar;no;0.71;0.83;0.77;M
 Lo_Prado;profesional;estandar;no;0.66;0.64;0.62;H
 Pudahuel;tecnica;estandar;no;0.8;0.86;0.83;M
 Santiago;tecnica;estandar;si;0.87;1.0;0.95;H
 Santiago;postgrado;beca;no;0.79;0.81;0.71;H
 Las_Condes;primaria;beca;no;0.38;0.49;0.45;M
 Lo_Prado;primaria;beca;no;0.38;0.43;0.43;M
 Las_Condes;tecnica;estandar;no;0.67;0.76;0.75;M
 Las_Condes;profesional;estandar;no;0.64;0.73;0.7;M
 Santiago;tecnica;beca;no;0.57;0.78;0.67;M
 Nunoa;secundaria;estandar;no;0.62;0.64;0.64;M
 Nunoa;postgrado;estandar;no;0.73;0.7;0.75;H
 Las_Condes;primaria;beca;si;0.73;0.67;0.59;H
 Nunoa;tecnica;estandar;no;0.77;0.68;0.77;M
 Las_Condes;tecnica;estandar;no;0.76;0.67;0.67;H
 Santiago;tecnica;estandar;si;0.57;0.54;0.56;H
 Santiago;primaria;estandar;si;0.65;0.74;0.77;M
 Lo_Prado;secundaria;beca;no;0.48;0.45;0.41;H
 Pudahuel;secundaria;beca;no;0.5;0.67;0.63;M
 Santiago;tecnica;estandar;no;0.85;0.89;0.95;M
 Pudahuel;primaria;estandar;no;0.74;0.63;0.57;H
 Nunoa;primaria;estandar;no;0.6;0.59;0.54;H
 Santiago;primaria;estandar;si;0.59;0.54;0.67;M
 Lo_Prado;tecnica;estandar;no;0.53;0.43;0.43;H
 Lo_Prado;tecnica;beca;no;0.49;0.65;0.55;M
 Nunoa;secundaria;estandar;si;0.88;0.99;1.0;M
 Santiago;secundaria;estandar;no;0.54;0.59;0.62;M
 Santiago;primaria;estandar;no;0.63;0.73;0.68;M
 Pudahuel;tecnica;estandar;si;0.65;0.65;0.63;H
 Pudahuel;tecnica;estandar;no;0.82;0.8;0.77;M
 Nunoa;secundaria;beca;si;0.52;0.57;0.56;M
 Nunoa;tecnica;estandar;si;0.87;0.84;0.85;H
 Nunoa;postgrado;estandar;si;0.7;0.71;0.74;M
 Las_Condes;tecnica;estandar;si;0.84;0.83;0.78;H
 Nunoa;tecnica;estandar;no;0.71;0.66;0.6;H
 Pudahuel;primaria;estandar;si;0.63;0.67;0.67;H
 Santiago;profesional;beca;si;0.51;0.72;0.79;M
 Las_Condes;secundaria;estandar;no;0.84;0.73;0.69;H
 Santiago;profesional;estandar;si;0.71;0.74;0.68;H
 Santiago;tecnica;estandar;no;0.74;0.73;0.67;H
 Nunoa;tecnica;estandar;no;0.68;0.59;0.62;H
 Las_Condes;secundaria;beca;si;0.57;0.56;0.54;H
 Santiago;tecnica;beca;si;0.82;0.93;0.93;M
 Nunoa;secundaria;estandar;si;0.57;0.58;0.64;M
 Nunoa;postgrado;beca;si;0.47;0.58;0.67;M
 Lo_Prado;primaria;estandar;si;0.59;0.85;0.8;M
 Pudahuel;tecnica;beca;no;0.41;0.39;0.34;H
 Santiago;tecnica;beca;no;0.62;0.67;0.62;M
 Santiago;profesional;estandar;no;0.86;0.83;0.86;H
 Santiago;primaria;beca;no;0.69;0.71;0.65;H
 Lo_Prado;primaria;beca;no;0.65;0.59;0.53;H
 Santiago;primaria;beca;no;0.68;0.63;0.54;H
 Santiago;tecnica;beca;no;0.64;0.66;0.59;H
 Santiago;secundaria;estandar;no;0.61;0.72;0.7;M
 Santiago;secundaria;estandar;no;0.61;0.56;0.55;H
 Lo_Prado;primaria;beca;no;0.47;0.59;0.5;M
 Santiago;primaria;estandar;no;0.73;0.66;0.66;H
 Santiago;tecnica;beca;si;0.5;0.48;0.53;H
 Nunoa;tecnica;estandar;no;0.75;0.68;0.64;H
 Nunoa;tecnica;beca;no;0.75;0.66;0.73;H
 Santiago;secundaria;estandar;no;0.7;0.56;0.51;H
 Nunoa;primaria;estandar;si;0.89;0.88;0.82;H
 Santiago;tecnica;estandar;si;0.67;0.81;0.79;M
 Nunoa;secundaria;estandar;no;0.78;0.81;0.8;M
 Lo_Prado;primaria;beca;no;0.59;0.73;0.69;M
 Pudahuel;tecnica;estandar;no;0.73;0.83;0.76;M
 Lo_Prado;primaria;beca;no;0.79;0.82;0.73;H
 Santiago;primaria;estandar;si;0.67;0.74;0.77;M
 Nunoa;tecnica;beca;no;0.69;0.66;0.6;H
 Santiago;secundaria;estandar;si;0.86;0.81;0.8;H
 Pudahuel;secundaria;estandar;no;0.47;0.46;0.42;H
 Pudahuel;tecnica;estandar;no;0.81;0.73;0.72;H
